案號,類別,日期,問題,答案,來源網址
003135,作物健康管理與諮詢,2026/05/05,發財樹、富貴竹同時變黃？與新進擺放紫外線消毒燈亦會釋放臭氧有關係嗎？,"依照片判斷，兩個植株的徵狀不太像臭氧危害，臭氧危害的徵狀應該是先產生白色斑點後擴大形成壞疽班；另紫外線的照射需要花較長時間才有可能對植株有影響。請持續觀察徵狀是否有更嚴重或擴散的現象，另建議盆栽可適度補充肥料並增加光照，以維持生長勢。 
文件
無 
回上一頁",https://mbox.acri.gov.tw/TA03.asp?Enc=afa13276df3451cb5f58e3d69d1aecbb
003134,作物健康管理與諮詢,2026/04/21,果樹遭受感染，整棵樹上的果食幾乎無一倖免，幼果、中果、大果幾乎都中！然後直接造成落果，感染初期的果實有紅斑點。,"從照片研判，番石榴極有可能感染瘡痂病。本病害在新梢與果實易罹病，造成紅褐化斑點，在田間氮肥高量時容易入侵。本病害藉由雨水飛濺傳染，若果實上已產生病徵，請立即摘除病果並帶離園區丟棄，並依照植物保護資訊系統(下方連結)，使用番石榴瘡痂病的核准使用藥劑進行施藥；若之後有黑星病複合感染，亦請照核准使用藥劑施藥。 
文件
無 
回上一頁",https://mbox.acri.gov.tw/TA03.asp?Enc=11617675b5e011faa78cbca71f1f92fb
003133,作物健康管理與諮詢,2026/04/13,進口蘋果打開後發現有部分已經爛果，可能原因為何？,"有關果品在儲藏與出口時，有可能會遭遇以下問題(1)在儲運過程冷鏈有狀況導致果品溫度異常，進而全果有腐敗現象(2)因撞傷導致傷口易受環境中的腐生菌感染。照片中的菌落比較像後者，且部分果實看起來才剛開始發病，果實若本就帶菌，較有可能是從蒂頭開始感染，綜合研判比較有可能或許是運送過程因撞傷導致的狀況。 
文件
無 
回上一頁",https://mbox.acri.gov.tw/TA03.asp?Enc=066eaf333f718b772b6bad4434ec4665
003132,作物健康管理與諮詢,2026/04/01,近期大量澆灌，三日內苦瓜芯尾大部分燒焦，嫩葉葉緣白化，想問是否為生長障礙或是葉蟎危害？,"因提到近期有大量澆灌農藥或其他物質的前提，惟不清楚澆灌的種類，故無法判斷成因，建議致電本所診斷服務站詢問。瓜類為對藥劑較敏感的作物，若不慎澆灌有機溶劑較多的劑型(如乳劑)極有可能產生藥害現象，也請依照植物保護資訊系統上的使用方式施藥，若註明為葉面噴施的種類請勿使用於土壤灌注。本所診斷中心電話為0800-022228。 
文件
無 
回上一頁",https://mbox.acri.gov.tw/TA03.asp?Enc=0d95cff6f2977daae2632dace6350941
003131,作物健康管理與諮詢,2026/04/01,附圖中羊角拗上的黑斑是什麼疾病？,"Colletotrichum與Alternaria經常對多種植物造成類似的病斑，也常共同感染植物的葉片，若要確認種類為何，建議先洽學校有顯微鏡的實驗室自行鏡檢。一般來說Alternaria的孢子具有磚格狀，呈現水滴型，細胞壁較黑；Colletotrichum的孢子呈橢圓形，較看不出septa。 
文件
無 
回上一頁",https://mbox.acri.gov.tw/TA03.asp?Enc=e16646c2e4376cc0aee03d135fc75549
003130,作物健康管理與諮詢,2026/03/27,為什麼下面的葉子大面積黃化很多葉子是沒有病班的？,"若全園的番茄都有大規模黃化的現象，很有可能是土壤的營養管理有問題。建議先進行土壤檢測，可以將土壤在採樣後送往離您最近的農業改良場，協助判斷土壤是否有元素不足、過量、或是鹽害等問題。 
文件
無 
回上一頁",https://mbox.acri.gov.tw/TA03.asp?Enc=83680636dabb549c7648101a6cfa296a
003129,作物健康管理與諮詢,2026/03/27,葉子上有橘色斑點，這是什麼病害？,"從照片研判應當為觀賞植物的藻斑病。本病害是寄生性綠藻引起的，常見於高濕、密植或通風不良的地方，此斑成熟後呈現鐵鏽色或橙紅色，會影響光合作用，最終落葉。 若想進行管理，可以修剪過密的枝條，並增加環境的通風性以降低相對濕度，在修枝後請將枝條帶離現場後銷毀，並注意肥料與水分的供應，以增強植株的活力。 
文件
無 
回上一頁",https://mbox.acri.gov.tw/TA03.asp?Enc=02bf62458e0342da57d9ef588ff8d9be
003128,藥毒物檢驗,2026/03/26,想檢測人體內的農藥劑量是否會影響到胰臟癌的惡化程度，網頁上看到檢測蜜蜂體內的農藥種類及濃度，可否應用到人體上面？,"(一)蜜蜂檢體農藥殘留檢驗方法與人體血液、尿液檢驗方法與處理程序有很大的不同。
(二)本所農藥殘留檢驗主要以農產品或農業環境為主，因不符合「人體試驗管理辦法」相關規定，無法進行人體試驗樣品之農藥殘留檢驗及執行相關計畫，受限於法規限制難以協助辦理。
(三)建議可洽毒物科或相關可執行人體檢體檢驗之單位，洽詢是否可協助進行相關檢驗。 
文件
無 
回上一頁",https://mbox.acri.gov.tw/TA03.asp?Enc=66aa947546adbd576986ed62865572bf
003127,病蟲害防治,2026/03/23,種植的蜜棗李有病蟲害，該如何防治？,"依照片判斷此病害為薔薇科�蚽f。本病害以夏孢子為田間感染源，在越冬時孢子可殘存在老葉或枝條上。建議確實清除田間帶有本病徵的葉片與枝條，再依照植物保護資訊系統上的核准使用藥劑進行消毒。 
文件
無 
回上一頁",https://mbox.acri.gov.tw/TA03.asp?Enc=10aebd396e11e8d7ad9b2efec562b152
003126,農藥施用技術,2026/03/18,蘇力菌、葵無露、展著劑三者合在一起混合噴灑在植物上可行嗎？,"1.蘇力菌可以與展著劑混合使用，但也要留意展著劑主要在佈展性與滲透性，而蘇力菌不是系統性藥劑，無法被植物體吸收到內部移行分布。
2. 蘇力菌+葵無露，部分農友會混合使用，但要留意葵無露所添加之油類物質及清潔劑類，這2類)是否會影響蘇力菌孢子發芽' 是必需考量的。 
3.	葵無露+展著劑，不建議混合使用，展著劑也是一種界面活性劑，葵無露成分也含有界面活性劑，若二者相加，可能易引起藥害問題。 
文件
無 
回上一頁",https://mbox.acri.gov.tw/TA03.asp?Enc=45c5954e8bc1caf778074648c13a6d04
003125,作物健康管理與諮詢,2026/03/16,園區的蓮霧樹，多年生長狀況不佳，感染了何種病蟲害，應如何防治？,"從照片初步研判可能為褐根病感染。因照片無拍攝到根部，若要進一步診斷，可將地際部挖開後取部分根系就近送台大植物教學醫院進行鑑定。若植株得到褐根病，基本上菌絲已侵入樹木很久，建議連根確實挖除後以尿素等資材進行土壤處理，若需要了解詳細的使用方式說明可電洽本所病蟲害診斷中心。0800-022228 
文件
無 
回上一頁",https://mbox.acri.gov.tw/TA03.asp?Enc=a7d27d7fa127798798e08c513e63d787
003124,作物健康管理與諮詢,2026/03/12,真柏盆栽上黃葉正常嗎？,"有關盆栽葉片變黃的原因有很多，主要有土壤水分過多(根部缺氧進而腐敗)、光照強度不足、缺乏營養元素(如氮)。請先檢查盆栽是否長期過度澆水，在確保土壤排水良好的前提下，再適度補充氮肥等肥料，並將盆栽移至光線充足的角落，再觀察是否此徵狀有改善的現象。 
文件
無 
回上一頁",https://mbox.acri.gov.tw/TA03.asp?Enc=b899533b4b2484d4e7f7dce93970c5ec
003123,動植物產品毒理安全,2026/03/06,荖葉的非傳統食品想要提供毒理報告的費用需要多少',"有關荖葉是向食藥署申請審核後依其分類為非傳統食品原料，需提供包括基因毒性試驗3項、90天餵食試驗、致畸胎性試驗等毒理報告，所需費用可依本所官網委託試驗費用計約452萬元。今年食藥署更新其申請原則(新興食品原料安全性評估作業原則)，並接受合併的毒性試驗，試驗費用可降至約194萬元。若有相關問題可電郵jinyi@acri.gov.tw張小姐。 
文件
無 
回上一頁",https://mbox.acri.gov.tw/TA03.asp?Enc=bee2d38199b4e26d15235e0d7d3390d3
003122,作物健康管理與諮詢,2026/02/26,田間小黃瓜生長不良，葉片黃化，畸形果多，果實小約2-3公分即黃化脫落之原因？,"從描述的徵狀和照片，初步判定為病毒病害。葫蘆科作物常因田間蚜蟲、粉蝨、薊馬等可帶病毒之媒介昆蟲傳播病害，亦有可能藉由未消毒之器械傳播病毒。病毒之發生通常可造成葉片嵌紋、黃化、葉與果實畸形、小果與落果等徵狀；由於病毒種類很多，需藉由分子檢測方式才可進一步知道病毒種類為何。田間在防治上請加強園區的蟲害防治，並拔除已感染之植株帶離現場後銷毀；除作物外雜草管理亦為重要防治方法，因媒介昆蟲多為雜食性，會藏匿於其中。針對害蟲若有用藥需求，請依據害蟲種類在植物保護資訊系統裡查詢葫蘆科作物可用之核准藥劑。 
文件
無 
回上一頁",https://mbox.acri.gov.tw/TA03.asp?Enc=7e54ddea843d0ea666f36a303b328519
003121,作物健康管理與諮詢,2026/02/10,照片狀況為蟲害還是鳥襲造成，幼果時就有此情形。,"依照片研判桃樹幼果的傷害非蟲害造成，通常昆蟲危害狀應為孔洞鑽蛀、或產卵時釘刺所造成的外徵，較有可能為小型動物的危害(例如松鼠等囓齒目)；若想進一步確認是否為昆蟲造成，可將果實切開觀察是否有排泄物，或蟲卵與幼蟲等活體。 
文件
無 
回上一頁",https://mbox.acri.gov.tw/TA03.asp?Enc=c6a52c016811f80eb367c0c1af072fd3
003120,藥毒物檢驗,2026/02/06,需求申請環保標章測試需求紡織提袋，內容有提到60項殺蟲劑，尤其是16三得芬Tridemorph24602-86-6   43脫禾草MCPA-thioethyl29450-45-1 這兩項？,"關於申請環保標章測試需求紡織提袋檢驗項目，60項殺蟲劑中三得芬及脫禾草，在該資料中5. 管制限值及檢測方法項下，「殺蟲劑總量」的「參考檢測方法」為NIEA D902，此外，食品中殘留農藥檢測方法-多種殘留分析方法(五)，該方法可檢驗410種農藥，但三得芬不在其中，脫禾草在檢驗項目中，其英文名Phenothiol與MCPA-thioethyl是相同化合物。因環保標章屬環境部業務職掌，亦可詢問環境部所屬相關單位洽詢。 
文件
無 
回上一頁",https://mbox.acri.gov.tw/TA03.asp?Enc=c5a4ba8ffa21dec0c4975fc613ba3b52
003119,生物農藥,2026/02/02,何處可以買到薊馬警戒費洛蒙？,"目前市面上並沒有販賣薊馬警戒費洛蒙，本所有提供免費索取少量薊馬警戒費洛蒙試用服務，一位農民一年可以領取3包，請提供您的農民佐證資料(如農保證明、產銷班班員證明、產銷履歷或有機驗證資訊等)，寄到fhchen@acri.gov.tw信箱，並寫上索取品項、收件人姓名、地址、連絡電話等資訊，審核通過後會寄出試用品。 
文件
無 
回上一頁",https://mbox.acri.gov.tw/TA03.asp?Enc=4b1d299a22a9dd178cc9baddec5e05d0
003118,食品安全,2026/02/02,茶枝枯病防治藥劑快得寧沒有MRL的原因？若使用該藥是否會受罰？,"一、農藥殘留容許量(MRL)之訂定係由衛生福利部食品藥物管理署(食藥署)主管，相關標準及規範建議請洽食藥署確認。
二、查食藥署網站資料，快得寧列於「食品中殘留農藥檢驗之建議方法清單」，該清單表示檢驗單位可依該方法進行農產品農藥殘留檢測，但不表示訂有相關標準。
三、為避免農藥殘留疑慮，建議優先選擇已核准使用於茶樹茶枝枯病，且訂有殘留容許量之防治藥劑進行防治，以保障產品安全及自身權益。 
文件
無 
回上一頁",https://mbox.acri.gov.tw/TA03.asp?Enc=5ed7f2f4c693f5fea6ac812f35851b85
003117,農藥管理,2026/01/27,若要登記聚乙醛20%水分散性油懸劑，需要備齊那些報告及資料？,"查有關聚乙醛20%水分散性油懸劑為已核准登記農藥，請依據農藥管理法第十條第一項之規定，以及理化性與毒理試驗準則第三條附件一、農藥理化性試驗項目修正規定之要求備齊待審資料。亦也可至農藥登記申辦系統(https://reg.acri.gov.tw/)入口頁面右下角之綠色對話視窗，啟用「農業藥物試驗所智慧客服助理」，即時查詢相關農藥登記問題。 
文件
無 
回上一頁",https://mbox.acri.gov.tw/TA03.asp?Enc=1d4653043dec1340add16aac5bfee131
003116,食品安全,2026/01/21,黎巴嫩、杜拜、新加坡這三地的毛豆農藥殘留標準可以去哪邊查詢？,"相關標準可參考:
1.新加坡標準(https://sso.agc.gov.sg/SL/SFA1973-RG1'ProvIds=Sc9-#Sc9-)，如無標準可參考codex(聯合國)標準。
2.杜拜標準參考阿聯(https://eservices.esma.gov.ae/#/page/websitePurchaseStandard/159437/)。如阿聯無標準再依序參考codex、歐盟標準。
3.黎巴嫩標準(https://libnor.gov.lb/)，為付費購買制。 
文件
無 
回上一頁",https://mbox.acri.gov.tw/TA03.asp?Enc=b2db6e33caa23a90b24064fcd57065e6
003115,生物農藥,2026/01/16,玉荷包荔枝園長期受到荔枝細蛾困擾，是否可提供有關荔枝細蛾防治費洛蒙相關購買訊息？,"有關本所研發的荔枝細蛾費洛蒙尚未到可供防治的階段，僅能初步誘引。目前市面上並沒有任何荔枝細蛾費洛蒙誘餌販賣，如有防治需求，建議洽農試所鳳山分所洽談綠光防治技術。本所另有提供免費索取少量荔枝細蛾費洛蒙誘餌試用服務，一位農民一年可以領取3包，請提供您的農民佐證資料(如農保證明、產銷班班員證明、產銷履歷或有機驗證資訊等)，寄到fhchen@acri.gov.tw信箱，並寫上索取品項、收件人姓名、地址、連絡電話等資訊，資料審核無誤後會將試用品寄出。 
文件
無 
回上一頁",https://mbox.acri.gov.tw/TA03.asp?Enc=fbec64188ace289037a703a91cce4b54
003114,作物健康管理與諮詢,2026/01/07,蜜蘋果受傷害原因？,"依照片初步判斷並非病蟲害所引起，因徵狀產生並無從傷口或某個起始點開始感染，果實的徵狀發生的非常均勻，研判可能為氣溫、施肥、氣候等多重因素導致果樹在氮肥過多及缺鈣狀況下，容易引起的水心症，若要改善請注意合理化施肥。 
文件
無 
回上一頁",https://mbox.acri.gov.tw/TA03.asp?Enc=61a0ad76b38de0aff43e8a67951ba1b1
003113,作物健康管理與諮詢,2026/01/05,棕櫚樹上有發現橡皮蟲，有推薦用藥嗎？,"1.從提供圖片應為亞洲棕櫚象鼻蟲。
2.目前農業上防治亞洲棕櫚象鼻蟲僅登記益達胺，可至本所植物保護資訊系統(，https://otserv2.acri.gov.tw/ppm/) 輸入「象鼻蟲」找到亞洲棕櫚象鼻蟲，或輸入「棍棒椰子」也可以查詢。
3.亞洲棕櫚象鼻蟲在臺灣以危害棍棒椰子為主，棲息在莖幹纖維裡蛀食，以系統性藥劑較為有效。
4.惟請留意您詢問的是社區棕櫚樹非農業用地之用藥範圍，建議可至環境部化學署網站確認用藥種類，若署特殊環境用藥需具備專業資格公司才能使用該藥劑。
 
文件
無 
回上一頁",https://mbox.acri.gov.tw/TA03.asp?Enc=e200f458043a11114f73d3e28563a942
003112,教育推廣,2025/12/31,新竹縣何處可購買到小菜蛾性費洛蒙？,"本所建置「生物農藥暨生物天敵查詢平台」(網址：https://ipm.acri.gov.tw/biol/)，可查詢農藥業者所設定的生物農藥販售通路，建議依下列方式操作：
1.請至平台首頁使用「進階搜尋」功能。
2.於「生物農藥」欄位選取「小菜蛾性費洛蒙」。
3.於「地點」欄位輸入「新竹縣」，即可查詢新竹縣之販售商家。
4.查詢結果中可點選「地址」開啟 Google 地圖，另外右上角可針對查詢結果提供關鍵詞的篩選(例如可輸入新竹縣)。另外，建議您購買前務必先電話聯繫商家確認當日是否營業及是否仍有庫存。
 
文件
無 
回上一頁",https://mbox.acri.gov.tw/TA03.asp?Enc=665bd40d2bb6f0abd38a644fe603b4e3
003111,除草劑及植物生長調節劑應用,2025/12/31,腎蕨類科與藤蔓類科使用哪種除草劑？,"有關蕨類和藤蔓類植物，除了人工清除之外，建議可先刈割後再施用系統性防除闊葉雜草的除草劑(如:二、四－地、百速隆、嘉磷塞)，讓藥劑經導管及篩管，長距離輸送至與藥劑接觸以外之其他部位發生作用。但用藥前應確實遵照標示之使用範圍(限用於農業生產用途土地)、施藥量及使用方法，不可隨意將藥劑用於未經測試或非推薦之作物，以免造成作物之藥害。用藥資訊請參考動植物防疫檢疫署農藥資訊服務網(https://pesticide.aphia.gov.tw/information/)或農藥所植物保護資訊系統(https://otserv2.acri.gov.tw/PPM/)。 
文件
無 
回上一頁",https://mbox.acri.gov.tw/TA03.asp?Enc=82e58148a4d931506ec7b9b63ccb0650
003110,作物健康管理與諮詢,2025/12/19,西瓜芭樂底部壞死是甚麼病？如何防治？,"1.依照片徵狀初步研判為瘡痂病菌所引發之感染。因病徵集中在果實底部，可能因套袋後受到雨水淋洗導致袋中有含病原菌之水氣，進而引發病害。
2.往後可檢查套袋中是否有累積多餘的水分，並注意袋中的乾淨；另施用過多氮肥時可能造成果實細胞壁較薄，進而使病原菌易入侵。若有藥劑使用需求可參考植物保護資訊系統中番石榴瘡痂病的核准用藥https://otserv2.acri.gov.tw/PPM/PLC0101.aspx'ASParam=bUZ0SyUyNjZuJTFmJTE4JTAycCUxYSUxN3BKWVRkLm5jJTdmZXZyaiUwMSUwYSUwZSUxMA==3.若需要詳細的鑑定可將樣本寄送至本所病蟲害診斷服務站。
 
文件
無 
回上一頁",https://mbox.acri.gov.tw/TA03.asp?Enc=75fed3c886aa3153c0b4052b555aaa22
003109,生物農藥,2025/12/03,「薊馬警戒費洛蒙產品」是否可在市面上購買？,"有關本所有部分的費洛蒙推廣項目僅供農民申請少量試用，但目前薊馬警戒費洛蒙試用品已被索取完畢。本所持續規劃將技術授權給業者，但目前尚無業者承接。 
文件
無 
回上一頁",https://mbox.acri.gov.tw/TA03.asp?Enc=fdca4551a2d7fffdb6302085ff0e26df
003108,生物農藥,2025/12/03,何處可以販售斜紋夜蛾誘引劑？,"有關斜紋夜蛾誘引劑目前計有兩家業者有生產此類資材，請逕洽業者購買：1. 中華民國農會附設各級農化廠 2. 中西化學 。 
文件
無 
回上一頁",https://mbox.acri.gov.tw/TA03.asp?Enc=71d68f2a121f3de7d4711f1d8c01e767
003107,教育推廣,2025/11/26,嘉義縣市可以購買到甜菜夜蛾性費洛蒙嗎？,"有關本所建置「生物農藥暨生物天敵查詢平台」(網址：https://ipm.acri.gov.tw/biol/)，可查詢農藥業者所設定的生物農藥販售通路，建議依下列方式操作：1.請至平台首頁使用「進階搜尋」功能。2.於「生物農藥」欄位選取「甜菜夜蛾費洛蒙」。3.於「地點」欄位輸入「嘉義」，即可查詢嘉義縣市地區之販售商家。4.查詢結果中可點選「地址」開啟 Google 地圖，另外右上角可針對查詢結果提供關鍵詞的篩選(例如可輸入嘉義市)。另外，建議購買前務必先電話聯繫商家確認當日是否營業及是否仍有庫存。 
文件
無 
回上一頁",https://mbox.acri.gov.tw/TA03.asp?Enc=bb971e526c145003bcfc6f15ca142b09
003106,作物健康管理與諮詢,2025/11/21,桂花植株葉片異狀變白萎縮乾死，取葉片至顯微鏡下檢視並無蟲類及蟲卵，應如何處理？,"從照片初步研判，葉片產生變白徵狀的部位非常平均，不似病蟲害影響造成，推斷可能的成因有以下幾點，請觀察栽培環境並嘗試改善：1.盆栽是否有經常性積水，可能導致根部受損腐敗，進而發生黃葉與新芽萎縮，植株乾枯。應待盆栽土乾了之後再澆水，澆到有水從底部流出即可，不可長時間積水。2.進行土壤檢測，可就近請農改場協助檢測土壤，土壤過酸時會導致微量元素缺乏，並使肥料的吸收能力降低，最後導致葉片顏色變淺等。適合植株的土壤酸鹼值應維持在中性偏微酸。 
文件
無 
回上一頁",https://mbox.acri.gov.tw/TA03.asp?Enc=9ac20f3cf1da464c9cbf93cb103319cf
